id,Filename,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
1,client/mysqlbinlog.cc,3.00,30.36,6.75,177.75,1337.46,608.00,7.00,6.00,7.75,4.00,38.79,3.00,29.75,6.75,0.00,0.00,0.00,1.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2107.68,177.75,1285.96,365.04,879.39,608.00,14.86,36.64,0.00,0.00,642.43,863.46,208.29,17.18,638.00,0.00,0.00,0.00,0.00,0.00,49.43,37.39,57.29,0.00,0.00,0.00,0.00,0.00,0.47,254.86,228.36,278.71,150.79,530.25,973.25,2761.46,1981.39,4742.86,1503.50,29324.07,488.18,801780.21,5.00,13.00,88.00,32.50,14.00,7.00,1
2,sql/log.cc,3.00,19.71,4.04,767.21,3567.96,1579.14,3.79,3.04,4.00,1.00,26.32,3.00,18.82,4.04,0.00,0.00,0.00,3.00,0.00,0.00,137.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5827.32,639.39,2668.39,518.04,1693.75,1329.75,1180.39,67.39,0.00,0.00,1248.43,1707.32,367.75,10.75,1328.82,0.00,0.00,0.00,0.00,0.00,22.00,22.00,25.00,0.00,0.00,0.00,0.00,0.00,0.50,485.00,474.50,586.14,261.96,1868.68,3015.96,7616.07,5618.07,13234.14,4884.64,76905.07,1574.11,1735440.04,3.00,19.00,75.75,23.43,20.54,8.93,1
3,sql/log.h,0.00,2.00,0.00,65.89,419.57,129.71,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,38.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,594.18,65.89,391.57,325.64,48.04,129.71,2.00,28.00,0.00,0.00,241.36,291.29,249.61,0.00,41.68,0.00,0.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.33,41.93,41.93,41.93,37.93,214.43,148.54,284.71,170.82,455.54,362.96,1611.96,104.54,6748.39,0.00,1.00,0.00,0.00,0.00,0.00,0
4,sql/log_event.cc,2.00,26.96,4.50,1034.75,5979.71,2629.29,6.29,5.29,7.00,2.00,32.61,2.00,26.29,4.00,0.00,0.00,0.00,1.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9474.00,584.61,2489.46,538.50,1621.86,1021.54,5202.86,335.36,0.00,0.00,1602.79,2036.43,367.75,8.64,1660.04,0.00,0.00,0.00,0.00,0.00,103.71,93.93,103.71,0.00,0.00,0.00,0.00,0.00,0.41,612.79,501.50,666.82,210.07,1428.75,2548.93,7710.96,5789.86,13500.82,3977.68,83481.46,1447.86,3002770.00,44.00,6.00,47.00,13.00,10.00,10.00,1
5,sql/log_event.h,0.00,2.00,0.00,315.75,1498.57,2216.71,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,113.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3941.32,288.18,772.50,568.04,123.71,2014.71,568.96,401.68,0.00,0.00,377.32,519.75,417.32,1.00,101.43,0.00,0.00,0.00,0.00,0.00,2.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,2.61,122.43,122.43,135.68,113.43,661.75,380.43,788.39,427.11,1215.50,1042.18,4082.54,326.18,16094.36,3.00,2.00,0.00,0.00,0.00,0.00,0
6,sql/repl_failsafe.cc,0.00,0.00,0.00,118.61,741.50,191.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1036.79,3.00,0.00,0.00,0.00,24.00,1007.79,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,6.00,0.00,0.00,0.00,0.00,0
7,sql/repl_failsafe.h,0.00,0.00,0.00,9.00,28.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,1.00,0.00,0.00,0.00,15.00,34.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
8,sql/rpl_constants.h,0.00,0.00,0.00,4.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,4.00,5.00,5.00,0.00,7.00,0.00,3.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
9,sql/rpl_filter.cc,1.00,11.00,1.00,82.00,344.46,128.00,2.00,2.00,3.00,1.00,12.00,1.00,11.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,547.46,82.00,340.46,95.00,170.46,128.00,0.00,4.00,0.00,0.00,148.46,221.46,64.00,1.00,156.46,0.00,0.00,0.00,0.00,0.00,10.00,10.00,14.00,0.00,0.00,0.00,0.00,0.00,0.38,72.00,72.00,80.00,41.00,342.00,391.46,945.46,663.46,1608.93,733.46,7934.82,271.82,116373.57,3.00,0.00,2.00,1.00,1.00,1.00,0
10,sql/rpl_filter.h,0.00,0.00,0.00,28.00,60.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,28.00,56.00,52.00,0.00,29.00,0.00,4.00,0.00,0.00,49.00,49.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
11,sql/rpl_injector.cc,1.00,9.00,3.00,40.00,136.29,63.00,2.00,2.00,2.00,1.00,12.39,1.00,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.29,40.00,134.29,48.50,74.29,63.00,0.00,2.00,0.00,0.00,120.86,144.86,54.50,0.00,90.36,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.47,35.50,35.50,35.50,15.00,155.00,210.79,370.29,320.79,691.07,365.79,3329.93,114.11,27737.11,1.00,1.00,0.00,0.00,0.00,0.00,0
12,sql/rpl_injector.h,0.00,4.00,0.00,37.00,119.00,188.00,1.00,1.00,2.00,1.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.00,37.00,111.00,70.00,30.00,188.00,0.00,8.00,0.00,0.00,59.00,78.00,54.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,1.69,18.00,18.00,21.00,14.00,105.00,64.00,165.00,107.00,272.00,169.00,1109.00,72.00,13813.00,0.00,0.00,0.00,0.00,0.00,0.00,0
13,sql/rpl_mi.cc,6.00,39.64,15.00,55.29,253.18,116.00,8.32,8.32,11.00,3.32,60.64,6.00,39.64,15.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,419.46,55.29,245.18,34.61,173.89,116.00,0.00,8.00,0.00,0.00,153.61,192.57,31.54,0.00,161.04,0.00,0.00,0.00,0.00,0.00,28.00,28.00,41.00,0.00,0.00,0.00,0.00,0.00,0.47,50.96,50.96,64.64,22.64,88.68,246.54,803.64,621.39,1425.04,335.21,9171.04,100.00,308522.68,0.00,0.00,89.32,5.00,20.00,3.00,0
14,sql/rpl_mi.h,0.00,0.00,0.00,10.68,47.64,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.32,2.00,0.00,0.00,0.00,16.00,93.32,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
15,sql/rpl_record.cc,0.00,0.00,0.00,33.32,193.93,156.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,379.89,4.00,0.00,0.00,0.00,82.00,285.89,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
16,sql/rpl_record.h,0.00,0.00,0.00,6.00,16.39,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.39,5.00,2.00,2.00,0.00,14.00,8.39,8.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
17,sql/rpl_record_old.cc,1.00,25.00,0.00,16.00,100.00,59.00,4.00,4.00,4.00,1.00,26.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00,5.00,25.00,7.00,14.00,37.00,102.00,5.00,0.00,0.00,15.00,18.00,5.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,1.48,4.00,4.00,4.00,1.00,21.00,29.00,92.00,74.00,166.00,50.00,936.00,26.00,24336.00,0.00,0.00,11.00,3.00,0.00,0.00,0
18,sql/rpl_record_old.h,0.00,0.00,0.00,3.00,15.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,2.00,0.00,0.00,0.00,14.00,11.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
19,sql/rpl_reporting.cc,2.50,24.50,4.75,6.75,41.50,7.00,3.50,2.25,4.50,2.50,29.75,2.50,24.50,4.75,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.25,6.75,39.50,8.75,27.25,7.00,0.00,2.00,0.00,0.00,22.25,28.00,6.75,0.00,21.25,0.00,0.00,0.00,0.00,0.00,5.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.18,5.75,3.75,6.75,4.75,30.25,39.50,107.75,66.00,173.75,69.75,1014.75,24.00,20876.25,0.00,0.00,0.00,0.00,0.00,0.00,0
20,sql/rpl_reporting.h,0.00,3.75,0.00,12.75,41.25,39.50,1.00,1.00,1.00,1.00,3.75,0.00,3.75,0.00,0.00,0.00,0.00,2.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.50,12.75,37.25,18.00,8.00,39.50,0.00,4.00,0.00,0.00,16.25,24.11,16.86,0.00,7.25,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.07,5.00,5.00,5.00,5.00,29.00,20.50,39.50,23.25,62.75,49.50,210.75,14.50,713.00,0.00,0.00,0.00,0.00,0.00,0.00,0
21,sql/rpl_rli.cc,4.00,45.00,19.00,107.04,720.89,415.29,6.00,6.00,7.57,2.00,67.04,4.00,43.36,19.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1226.21,104.04,658.89,85.79,447.25,398.29,56.00,25.00,0.00,0.00,316.14,398.61,61.79,0.00,336.82,0.00,0.00,0.00,0.00,0.00,21.93,21.93,29.07,0.00,0.00,0.00,0.00,0.00,0.61,91.54,91.54,116.29,41.00,267.64,609.04,1924.57,1428.61,3353.18,876.68,21913.39,279.82,810639.36,1.00,3.00,109.71,10.00,44.82,8.00,0
22,sql/rpl_rli.h,0.00,5.00,0.00,55.07,137.79,240.18,2.00,2.00,2.00,1.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,426.04,55.07,122.79,86.79,18.00,239.18,3.00,13.00,0.00,0.00,77.79,91.79,76.79,0.00,15.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,1.94,14.00,14.00,16.00,9.00,74.00,54.00,103.00,67.00,170.00,128.00,680.00,43.00,4821.00,0.00,0.00,0.00,0.00,0.00,0.00,0
23,sql/rpl_tblmap.cc,0.00,14.57,3.00,15.00,112.86,44.57,3.57,3.57,4.00,1.00,17.57,0.00,13.57,3.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.43,15.00,95.86,20.00,56.71,44.57,2.00,17.00,0.00,0.00,86.00,99.57,24.93,0.00,74.64,0.00,0.00,0.00,0.00,0.00,8.14,8.14,9.14,0.00,0.00,0.00,0.00,0.00,0.46,25.14,25.14,26.14,9.57,87.00,119.00,269.14,210.00,479.14,206.00,2400.71,72.14,30284.43,0.00,0.00,0.00,0.00,0.00,0.00,0
24,sql/rpl_tblmap.h,0.00,4.00,0.00,17.00,45.00,49.00,1.00,1.00,1.00,1.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,17.00,37.00,26.00,4.00,49.00,2.00,6.00,0.00,0.00,21.00,24.00,22.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.32,2.00,2.00,2.00,2.00,14.00,11.00,22.00,14.00,36.00,25.00,134.00,8.00,604.00,0.00,0.00,0.00,0.00,0.00,0.00,0
25,sql/rpl_utility.cc,3.00,77.00,19.00,9.00,156.00,63.00,17.00,5.00,19.00,1.00,98.00,2.00,64.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.00,8.00,128.00,16.00,99.00,56.00,29.00,7.00,0.00,0.00,60.00,92.00,14.00,0.00,78.00,0.00,0.00,0.00,0.00,0.00,30.00,6.00,31.00,0.00,0.00,0.00,0.00,0.00,0.44,34.00,10.00,38.00,2.00,53.00,103.43,394.43,278.43,672.86,156.43,4250.71,70.00,153108.14,0.00,0.00,0.00,0.00,0.00,0.00,0
26,sql/rpl_utility.h,0.00,17.00,3.00,28.00,155.82,129.71,4.54,3.00,5.00,1.00,19.00,0.00,16.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,306.11,24.00,111.96,26.43,65.54,113.71,43.00,21.86,0.00,0.00,49.43,74.96,22.43,0.00,52.54,0.00,0.00,0.00,0.00,0.00,17.54,6.00,19.54,0.00,0.00,0.00,0.00,0.00,1.02,26.54,15.00,28.54,6.00,66.00,81.39,260.36,182.25,442.61,147.39,2493.93,63.46,83589.43,0.00,0.00,0.00,0.00,0.00,0.00,0
27,sql/slave.cc,4.00,45.46,15.21,392.00,2802.29,1375.21,10.75,10.04,12.00,4.00,63.68,4.00,43.89,15.21,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4484.36,391.00,2674.75,410.46,1844.29,1371.21,53.04,79.50,0.00,0.00,1925.04,2308.61,449.21,10.71,1848.68,0.00,0.00,0.00,0.00,0.00,50.14,48.50,53.14,0.00,0.00,0.00,0.00,0.00,0.51,625.68,612.32,692.18,250.68,1052.61,2403.25,7652.00,5877.82,13529.82,3455.86,88165.39,1145.11,3213747.21,47.00,19.00,711.93,125.57,128.61,45.75,0
28,sql/slave.h,0.00,0.00,0.00,30.00,92.36,107.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.36,30.00,71.36,71.36,2.00,107.75,0.00,21.00,0.00,0.00,55.96,55.96,55.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
29,sql/sql_class.cc,1.00,14.00,2.00,463.93,2586.50,923.46,2.64,2.64,3.11,1.00,16.36,1.00,13.07,2.00,0.00,0.00,0.00,0.00,0.00,0.00,150.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3917.39,395.07,2009.64,415.54,1176.07,716.89,742.04,121.25,0.00,0.00,1079.39,1435.93,352.93,5.57,1077.43,0.00,0.00,0.00,0.00,0.00,39.79,39.79,64.21,0.00,0.00,0.00,0.00,0.00,0.36,391.89,387.89,498.36,219.79,1755.46,2381.86,5989.71,4324.21,10313.93,4137.32,56432.89,1464.25,1278159.46,17.00,8.00,68.39,31.25,14.36,10.36,1
30,sql/sql_class.h,0.00,2.00,0.00,297.93,1653.79,1183.68,1.00,1.00,1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3051.07,55.50,283.07,259.07,8.00,142.18,2562.75,82.86,0.00,0.00,218.64,239.64,232.64,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,14.00,14.00,14.00,14.00,110.00,89.00,184.00,124.00,308.00,199.00,1255.00,72.00,7813.00,5.00,1.00,0.00,0.00,0.00,0.00,0
31,sql/sql_lex.cc,1.00,21.00,4.00,300.82,1889.57,924.00,4.00,3.00,5.00,2.00,25.00,1.00,20.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,89.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2996.64,300.82,1798.50,249.25,1210.14,923.71,68.14,22.93,0.00,0.00,869.46,1245.54,168.61,28.00,1048.93,0.00,0.00,0.00,0.00,0.00,123.00,87.00,151.00,0.00,0.00,0.00,0.00,0.00,0.51,377.71,302.71,448.54,210.14,1030.96,1440.79,5307.00,3687.04,8994.04,2471.75,54895.25,1048.25,3633694.18,2.00,2.00,336.75,25.82,141.29,13.29,0
32,sql/sql_lex.h,0.00,0.00,0.00,221.07,1037.04,792.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1993.07,11.00,66.00,66.00,0.00,39.00,1871.07,50.11,0.00,0.00,11.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0